Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,area(m²)
83897,31/01/2016,0,36.0,2.658065,8.1,198.2,6.494624,,242.9,29.896774,22.206452,75.822581,-27.58,-48.56,675409000.0
83897,29/02/2016,0,14.0,2.511494,8.3,153.4,7.298850999999999,,229.4,30.427586,22.775862,79.672414,-27.58,-48.56,675409000.0
83897,31/03/2016,0,14.0,2.217204,5.6,186.3,6.129032,,281.3,29.087097,20.558065,77.451613,-27.58,-48.56,675409000.0
83897,30/04/2016,0,36.0,2.17208,6.17328,183.9,5.972222,,104.9,28.84,21.423333,80.083333,-27.58,-48.56,675409000.0
83897,31/05/2016,0,14.0,1.753521,8.74548,122.8,7.338710000000002,,73.5,22.264516,14.880645,81.516129,-27.58,-48.56,675409000.0
83897,30/06/2016,0,14.0,1.97202,8.23104,138.0,5.710227,,42.9,18.966667,10.683333,81.408333,-27.58,-48.56,675409000.0
83897,31/07/2016,0,36.0,2.522415,25.722,192.9,5.05814,,117.5,20.722581,12.319355,80.08064499999998,-27.58,-48.56,675409000.0
83897,31/08/2016,0,36.0,2.616453,7.202160000000001,182.3,6.061828,,77.6,22.390323,13.645160999999998,78.879032,-27.58,-48.56,675409000.0
83897,30/09/2016,0,14.0,2.52933,9.25992,203.5,5.2083330000000005,,112.9,23.423333,14.753333,73.908333,-27.58,-48.56,675409000.0
83897,31/10/2016,0,14.0,2.666237,12.34656,134.1,7.916666999999999,,177.9,24.190323,,78.709677,-27.58,-48.56,675409000.0
83897,30/11/2016,0,14.0,2.417868,8.74548,184.9,6.944444,,47.4,26.41,18.435,72.325,-27.58,-48.56,675409000.0
83897,31/12/2016,0,36.0,1.637357,7.202160000000001,163.0,6.989247,,252.8,28.580645,20.641935,78.596774,-27.58,-48.56,675409000.0
83897,31/01/2017,0,14.0,2.204301,9.0,218.9,7.053763000000001,,200.7,31.016129,22.277419,77.08064499999998,-27.58,-48.56,675409000.0
83897,28/02/2017,0,36.0,1.423077,9.0,175.6,6.397436,,133.4,31.073077,23.469231,76.336538,-27.58,-48.56,675409000.0
83897,31/03/2017,0,14.0,1.709677,9.0,173.1,7.322581,,226.4,28.977419,20.967742,78.040323,-27.58,-48.56,675409000.0
83897,30/04/2017,0,0.0,1.355556,5.0,145.6,6.288889,,134.1,26.183333,18.286667,79.591667,-27.58,-48.56,675409000.0
83897,31/05/2017,0,0.0,1.268817,5.0,130.8,7.139785000000002,,231.7,24.296774,17.345160999999994,83.064516,-27.58,-48.56,675409000.0
83897,30/06/2017,0,32.0,1.444444,6.0,155.4,5.888889,,163.7,23.563333,14.38,80.533333,-27.58,-48.56,675409000.0
83897,31/07/2017,0,36.0,1.783871,9.0,246.7,3.053763,,9.4,23.332258,13.26129,78.83870999999998,-27.58,-48.56,675409000.0
83897,31/08/2017,0,36.0,1.853763,9.0,167.9,6.150538,,116.3,23.190323,15.306451999999998,77.0,-27.58,-48.56,675409000.0
83897,30/09/2017,0,36.0,2.544444,9.0,156.7,7.088889,,104.1,24.636667000000006,18.506667,80.18333299999998,-27.58,-48.56,675409000.0
83897,31/10/2017,0,0.0,1.567901,9.0,148.9,7.308642,,100.0,25.555172,18.217241,76.974138,-27.58,-48.56,675409000.0
83897,30/11/2017,0,0.0,1.384615,12.0,209.1,6.115385,,102.5,26.392308,18.465385,72.730769,-27.58,-48.56,675409000.0
83897,31/12/2017,0,,,,,,,8.5,,,,-27.58,-48.56,675409000.0
83897,31/01/2018,0,0.0,0.777778,3.0,,8.466667,,315.2,29.386957,22.06087,81.217391,-27.58,-48.56,675409000.0
83897,28/02/2018,0,0.0,1.151899,5.0,176.4,6.772152,,116.6,29.096296,20.444444,73.935185,-27.58,-48.56,675409000.0
83897,31/03/2018,0,0.0,0.6346149999999999,5.0,118.9,8.5,,121.3,28.473077000000004,21.384615,80.798077,-27.58,-48.56,675409000.0
83897,30/04/2018,0,0.0,0.713462,6.0,206.7,4.211538,,32.5,29.330769,19.565385,78.92,-27.58,-48.56,675409000.0
83897,31/05/2018,0,0.0,0.444444,1.0,,6.277778,,46.4,25.077778,17.048148,81.222222,-27.58,-48.56,675409000.0
83897,30/06/2018,0,0.0,0.6153850000000001,3.0,,7.173077,,58.0,22.011538,13.896154,82.923077,-27.58,-48.56,675409000.0
83897,31/07/2018,0,0.0,1.557692,17.0,,6.5576919999999985,,110.9,21.242308,14.15,84.423077,-27.58,-48.56,675409000.0
83897,31/08/2018,0,0.0,1.267857,5.0,154.9,5.25,,70.0,21.042857,12.553571,78.962963,-27.58,-48.56,675409000.0
83897,30/09/2018,0,0.0,1.066667,7.0,141.6,6.416667,,202.5,24.243333,17.0,83.034483,-27.58,-48.56,675409000.0
