Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,area(m²)
83948,31/01/2016,0,9,1.5483870000000002,6.0,192.4,6.322581,,69.1,27.593548,20.522581,84.741935,-29.35,-49.73,161182000.0
83948,29/02/2016,0,0,0.977011,4.0,186.5,6.505747,,88.3,28.6,21.268966,85.068966,-29.35,-49.73,161182000.0
83948,31/03/2016,0,0,1.752688,9.0,185.2,5.4301080000000015,,217.8,27.567742,19.56129,82.217742,-29.35,-49.73,161182000.0
83948,30/04/2016,0,0,1.439469,6.17328,160.9,7.35,,295.3,26.746667,20.17,84.741667,-29.35,-49.73,161182000.0
83948,31/05/2016,0,0,1.294397,6.17328,138.0,6.69837,,31.2,20.429032,12.358065,86.177419,-29.35,-49.73,161182000.0
83948,30/06/2016,0,0,0.983152,8.23104,155.2,4.455128,,14.5,16.89,7.56,83.158333,-29.35,-49.73,161182000.0
83948,31/07/2016,0,0,1.559915,7.202160000000001,185.4,5.201149,,123.7,18.345161,9.835484,84.717742,-29.35,-49.73,161182000.0
83948,31/08/2016,0,0,1.515662,7.202160000000001,164.0,5.353261,,80.0,20.277419,11.564516,86.225806,-29.35,-49.73,161182000.0
83948,30/09/2016,0,18,2.537904,9.25992,221.4,4.801136,,53.8,21.2,12.85,80.8,-29.35,-49.73,161182000.0
83948,31/10/2016,0,5,2.998134,9.25992,147.3,7.0833330000000005,,215.5,21.883871,15.822581,84.758065,-29.35,-49.73,161182000.0
83948,30/11/2016,0,5,3.280984,8.23104,264.3,5.097222,,72.5,25.206667000000003,16.873333,75.616667,-29.35,-49.73,161182000.0
83948,31/12/2016,0,5,2.146266,7.202160000000001,213.4,6.424731,,224.0,27.332258000000003,19.667742,82.112903,-29.35,-49.73,161182000.0
83948,31/01/2017,0,0,1.978495,6.0,213.4,6.494624,,184.8,29.367742,21.909677,80.548387,-29.35,-49.73,161182000.0
83948,28/02/2017,0,5,1.464286,5.0,178.4,6.345238,,78.9,29.6,22.296429,82.285714,-29.35,-49.73,161182000.0
83948,31/03/2017,0,0,1.726882,6.0,168.2,6.193548000000002,,209.8,27.880645,20.106452,79.19354799999998,-29.35,-49.73,161182000.0
83948,30/04/2017,0,0,1.3777780000000002,5.0,141.7,5.855556,,66.4,24.623333,16.78,83.175,-29.35,-49.73,161182000.0
83948,31/05/2017,0,0,1.526882,7.0,130.2,7.0752690000000005,,186.9,22.493548,15.687097,88.846774,-29.35,-49.73,161182000.0
83948,30/06/2017,0,0,0.977778,7.0,173.8,5.0,,167.9,21.406667,12.366667,86.75,-29.35,-49.73,161182000.0
83948,31/07/2017,0,0,1.11828,8.0,230.8,3.010753,,4.1,21.477419,10.919355,84.620968,-29.35,-49.73,161182000.0
83948,31/08/2017,0,5,2.290323,9.0,193.9,4.849462,,85.8,21.803226,13.529032,81.685484,-29.35,-49.73,161182000.0
83948,30/09/2017,0,5,2.0,8.0,119.1,6.866667,,160.6,22.243333,16.83,87.741667,-29.35,-49.73,161182000.0
83948,31/10/2017,0,5,2.182796,8.0,164.1,7.193548,,136.9,23.506452,16.422581,81.241935,-29.35,-49.73,161182000.0
83948,30/11/2017,0,5,2.1222220000000003,7.0,208.4,5.033333,,114.2,25.133333,16.246667000000002,77.883333,-29.35,-49.73,161182000.0
