Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
82861,31/01/2016,0,5,2.333333,5.0,109.5,7.8172039999999985,,257.3,31.441935,22.441935,85.403226,-8.26,-49.26,Cerrado
82861,29/02/2016,0,9,2.091954,5.0,234.2,5.0,,58.6,35.214286,23.393103,72.160714,-8.26,-49.26,Cerrado
82861,31/03/2016,0,27,2.021505,4.0,166.8,7.161289999999998,,289.6,32.81290300000001,22.948387,82.508333,-8.26,-49.26,Cerrado
82861,30/04/2016,0,14,2.291111,10.0,183.4,6.055556,,48.4,34.32,23.286667,76.866667,-8.26,-49.26,Cerrado
82861,31/05/2016,0,14,2.129032,4.0,254.9,4.602151,,26.1,35.080645000000004,23.429032,72.895161,-8.26,-49.26,Cerrado
82861,30/06/2016,0,14,2.366667,5.0,270.6,3.566667,,34.4,34.843333,22.733333,69.00862099999999,-8.26,-49.26,Cerrado
82861,31/07/2016,0,14,2.752688,6.0,324.3,1.333333,,0.0,37.016129,21.554839,55.201613,-8.26,-49.26,Cerrado
82861,31/08/2016,0,5,1.892473,3.0,295.8,2.752688,,0.0,38.664516,22.219355,52.532258,-8.26,-49.26,Cerrado
82861,30/09/2016,0,5,2.498889,5.0,196.5,5.377778,,67.3,36.676667,23.19,62.183333,-8.26,-49.26,Cerrado
82861,31/10/2016,0,18,2.57063,5.1444,210.6,6.111413,,56.8,35.46129000000001,23.703226,70.69354799999998,-8.26,-49.26,Cerrado
82861,30/11/2016,0,18,2.332128,5.1444,165.6,6.846591,,84.1,34.186667,23.083333,76.833333,-8.26,-49.26,Cerrado
82861,31/12/2016,0,23,2.599858,5.1444,156.6,7.05163,,136.4,33.06129,23.329032,81.733871,-8.26,-49.26,Cerrado
82861,31/01/2017,0,18,2.225806,6.0,167.6,7.225805999999999,,255.1,32.564516,22.416129,82.766129,-8.26,-49.26,Cerrado
82861,28/02/2017,0,14,2.190476,5.0,98.9,8.119048,,289.6,31.185714,22.35,84.60714300000002,-8.26,-49.26,Cerrado
82861,31/03/2017,0,23,2.021505,5.0,156.8,7.172043,,215.6,32.390322999999995,22.93871,82.451613,-8.26,-49.26,Cerrado
82861,30/04/2017,0,23,2.0,4.0,179.4,6.322222,,189.3,33.006667,23.19,82.016667,-8.26,-49.26,Cerrado
82861,31/05/2017,0,9,2.032258,5.0,272.4,4.150538,,37.2,35.093548,23.696774,72.774194,-8.26,-49.26,Cerrado
82861,30/06/2017,0,14,2.155556,4.0,283.4,2.9,,8.9,35.516667,22.42,63.375,-8.26,-49.26,Cerrado
82861,31/07/2017,0,14,2.549462,5.0,314.7,1.88172,,0.0,35.732258,20.564516,53.653226,-8.26,-49.26,Cerrado
