datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/12/13 05:11:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.05,-31.75297,-53.87834,
2017/12/10 04:27:00,NPP-375,Brasil,RIO GRANDE DO SUL,ALEGRETE,Pampa,0,0,0.71,-29.7876,-56.2923,
2017/12/13 16:35:58,GOES-13,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.06,-31.76,-53.85,
2017/12/16 18:18:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,7.4,0,-30.3384,-52.5164,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.87177,-51.76103,
2017/12/27 16:31:00,NPP-375,Brasil,RIO GRANDE DO SUL,PEDRAS ALTAS,Pampa,0,0,0.16,-31.74517,-53.51764,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACAPAVA DO SUL,Pampa,0,0,0.57,-30.70708,-53.31367,
2017/12/08 17:28:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,0.65,0.15,-30.87699,-52.85012,
2017/12/15 16:57:00,NPP-375,Brasil,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Pampa,0,0,0.27,-30.8003,-52.99966,
2017/12/16 16:38:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANGUCU,Pampa,0,5.5,0.01,-31.5628,-52.9594,
2017/12/15 16:57:00,NPP-375,Brasil,RIO GRANDE DO SUL,BAGE,Pampa,0,0,0.37,-31.34303,-54.06524,
2017/12/29 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO GABRIEL,Pampa,0,0,0.06,-30.2464,-54.66894,
2017/12/25 17:09:00,NPP-375,Brasil,RIO GRANDE DO SUL,VIAMAO,Pampa,0,0,0.01,-30.11723,-51.09439,
2018/03/10 17:00:00,NPP-375,Brasil,RIO GRANDE DO SUL,SANT'ANA DO LIVRAMENTO,Pampa,0,13.2,0.75,-30.63362,-56.13361,
2017/12/08 17:28:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO SEPE,Pampa,0,0.2,0.31,-30.06178,-53.8805,
2017/12/27 18:12:00,NPP-375,Brasil,RIO GRANDE DO SUL,PEDRAS ALTAS,Pampa,0,0,0.16,-31.74755,-53.51432,
