datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/03/17 15:55:00,AQUA_M-T,Brasil,MARANHAO,CHAPADINHA,Cerrado,0,0.25,0.02,-4.08,-43.553,57.1
2018/03/17 15:55:00,AQUA_M-T,Brasil,MARANHAO,CAXIAS,Cerrado,0,0,0.07,-4.634,-43.157,24.3
2018/03/18 16:35:00,AQUA_M-T,Brasil,GOIAS,RIO VERDE,Cerrado,0,2.1,0.93,-17.716,-51.529,40.7
2018/03/18 16:40:00,AQUA_M-T,Brasil,TOCANTINS,DIVINOPOLIS DO TOCANTINS,Cerrado,0,53.75,0,-9.569,-49.463,17.8
2018/03/20 16:25:00,AQUA_M-T,Brasil,MARANHAO,MATOES,Cerrado,0,1.4,0.05,-5.464,-43.21,6.2
2018/03/20 16:25:00,AQUA_M-T,Brasil,PIAUI,RIBEIRO GONCALVES,Cerrado,0,2.83,0.05,-7.687,-45.303,16.9
2018/05/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,POXOREU,Cerrado,0,0,0.51,-15.819,-54.607,11.7
2018/05/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,POXOREU,Cerrado,0,0,0.22,-15.816,-54.613,13.9
2018/05/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,AGUA BOA,Cerrado,0,0,0.23,-14.153,-52.511,47.2
2018/05/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,AGUA BOA,Cerrado,0,0,0.23,-14.152,-52.506,51
2018/05/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,0,0,0.12,-13.679,-56.662,23.9
2018/05/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MUTUM,Cerrado,0,0,0.1,-13.274,-56.298,16.4
2018/06/12 17:40:00,AQUA_M-T,Brasil,TOCANTINS,PIUM,Cerrado,24,0,1,-10.525,-49.892,80.5
2018/06/12 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,COCALINHO,Cerrado,24,0,0.74,-13.855,-51.176,61.2
2018/06/12 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA NAZARE,Cerrado,24,0,0.74,-13.699,-51.692,25.9
2018/06/12 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Cerrado,25,0,1,-13.361,-54.815,16.6
2018/06/12 17:40:00,AQUA_M-T,Brasil,TOCANTINS,PIUM,Cerrado,24,0,1,-10.534,-49.924,56.4
2018/06/12 17:40:00,AQUA_M-T,Brasil,TOCANTINS,PIUM,Cerrado,24,0,1,-10.531,-49.93,43.3
2018/06/12 17:40:00,AQUA_M-T,Brasil,TOCANTINS,PIUM,Cerrado,24,0,1,-10.527,-49.886,57.2
2018/07/11 17:10:00,AQUA_M-T,Brasil,MATO GROSSO,AGUA BOA,Cerrado,40,0,1,-14.104,-52.983,7.9
2018/07/11 17:10:00,AQUA_M-T,Brasil,TOCANTINS,TALISMA,Cerrado,53,0,1,-12.828,-49.067,12.4
2018/07/11 17:10:00,AQUA_M-T,Brasil,TOCANTINS,ARAGUACU,Cerrado,53,0,1,-12.815,-49.904,13.3
2018/07/11 17:10:00,AQUA_M-T,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,53,0,1,-11.392,-50.671,15.4
2018/09/23 16:10:00,AQUA_M-T,Brasil,MARANHAO,BARRA DO CORDA,Cerrado,7,0,1,-5.421,-45.164,45.5
2018/10/09 16:10:00,AQUA_M-T,Brasil,PIAUI,URUCUI,Cerrado,34,0,1,-7.733,-44.369,65.1
2018/10/09 16:10:00,AQUA_M-T,Brasil,PIAUI,URUCUI,Cerrado,34,0,1,-7.731,-44.347,177.4
2018/10/09 16:10:00,AQUA_M-T,Brasil,PIAUI,ITAUEIRA,Cerrado,5,0,1,-7.519,-43.319,33.4
2018/10/09 16:10:00,AQUA_M-T,Brasil,PIAUI,ITAUEIRA,Cerrado,5,0,1,-7.517,-43.324,95.5
2018/10/09 16:10:00,AQUA_M-T,Brasil,PIAUI,ITAUEIRA,Cerrado,5,0,1,-7.515,-43.306,34
2018/10/09 16:10:00,AQUA_M-T,Brasil,PIAUI,ITAUEIRA,Cerrado,5,0,1,-7.512,-43.379,41.6
2018/10/09 16:10:00,AQUA_M-T,Brasil,PIAUI,ITAUEIRA,Cerrado,5,0,1,-7.509,-43.361,305.7
2018/10/27 17:30:00,AQUA_M-T,Brasil,MATO GROSSO,JAURU,Cerrado,2,0,0.31,-15.083,-58.777,13.7
2018/10/27 17:30:00,AQUA_M-T,Brasil,MATO GROSSO,RESERVA DO CABACAL,Cerrado,2,0.05,0.21,-14.903,-58.466,6.5
2018/08/09 16:40:00,AQUA_M-T,Brasil,PIAUI,LANDRI SALES,Cerrado,80,0,1,-7.207,-43.759,18.7
2018/08/09 16:40:00,AQUA_M-T,Brasil,PIAUI,PORTO ALEGRE DO PIAUI,Cerrado,0,0,1,-6.888,-43.9,8.6
2018/08/09 16:40:00,AQUA_M-T,Brasil,PIAUI,PORTO ALEGRE DO PIAUI,Cerrado,11,0,1,-6.878,-44.073,10.9
2018/08/09 16:40:00,AQUA_M-T,Brasil,PIAUI,PORTO ALEGRE DO PIAUI,Cerrado,0,0,1,-6.878,-43.902,36.5
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,BARAO DE GRAJAU,Cerrado,80,0,1,-6.664,-43.071,11.1
2018/08/09 16:40:00,AQUA_M-T,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,33,0,1,-9.138,-46.181,8.4
2018/08/09 16:40:00,AQUA_M-T,Brasil,TOCANTINS,CENTENARIO,Cerrado,33,0,1,-8.86,-47.433,12.9
2018/08/09 16:40:00,AQUA_M-T,Brasil,TOCANTINS,SANTA MARIA DO TOCANTINS,Cerrado,79,0,1,-8.844,-47.91,42.2
