datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/11/08 16:50:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,0,0,-31.73797,-53.85323,
2017/08/01 17:47:00,NPP-375,Brasil,RIO GRANDE DO SUL,SERTAO SANTANA,Pampa,0,32.1,0,-30.42927,-51.66637,
2017/08/01 17:46:00,NPP-375,Brasil,RIO GRANDE DO SUL,AMARAL FERRADOR,Pampa,0,44.4,0,-30.86594,-52.3342,
2016/12/15 17:41:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,,,,-30.7574,-52.92556,
2016/12/15 05:17:00,NPP-375,Brasil,RIO GRANDE DO SUL,TUPANCIRETA,Pampa,,,,-29.12408,-53.78973,
2016/12/13 16:39:00,NPP-375,Brasil,RIO GRANDE DO SUL,QUEVEDOS,Pampa,,,,-29.40814,-54.03088,
2017/09/03 17:28:00,NPP-375,Brasil,RIO GRANDE DO SUL,RESTINGA SECA,Pampa,0,0,0.12,-29.934,-53.28626,
2017/10/20 17:47:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANGUCU,Pampa,0,29.7,0,-30.97577,-52.43567,
2016/12/12 16:57:00,NPP-375,Brasil,RIO GRANDE DO SUL,HERVAL,Pampa,,,,-31.91937,-53.16147,
2017/09/22 04:08:00,NPP-375,Brasil,RIO GRANDE DO SUL,SANTIAGO,Pampa,0,9.8,0,-29.00045,-55.0055,
2017/08/29 17:22:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACEQUI,Pampa,0,4.4,0,-30.01838,-55.13165,
2017/11/23 19:37:25,NOAA-19,Brasil,RIO GRANDE DO SUL,ROSARIO DO SUL,Pampa,0,0,0.07,-30.175,-55.0202,
2017/08/23 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,ELDORADO DO SUL,Pampa,0,0,0,-30.08096,-51.41584,
2017/11/22 17:28:00,NPP-375,Brasil,RIO GRANDE DO SUL,RIO PARDO,Pampa,0,0,0,-30.28038,-52.60361,
2017/11/15 18:00:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO SEPE,Pampa,0,9.6,0,-30.31645,-53.51936,
2017/02/09 16:50:00,NPP-375,Brasil,RIO GRANDE DO SUL,MARIANA PIMENTEL,Pampa,0,2.8,0,-30.29633,-51.58806,
2017/11/19 18:24:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANGUCU,Pampa,0,0,0,-31.41712,-52.71118,
2017/10/24 16:32:00,NPP-375,Brasil,RIO GRANDE DO SUL,OSORIO,Pampa,0,3.4,0,-29.94208,-50.20424,
2017/10/02 18:25:00,NPP-375,Brasil,RIO GRANDE DO SUL,ITAQUI,Pampa,0,0,0,-29.22749,-56.35155,
2017/11/23 17:10:00,NPP-375,Brasil,RIO GRANDE DO SUL,DOM FELICIANO,Pampa,0,0,0,-30.49265,-52.15359,
2017/11/14 16:38:00,NPP-375,Brasil,RIO GRANDE DO SUL,CACHOEIRA DO SUL,Pampa,0,0,0.1,-30.569,-53.07634,
2016/12/10 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO PEDRO DO SUL,Pampa,,,,-29.64515,-54.30143,
2016/12/12 16:57:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,,,,-30.94002,-52.89816,
2017/09/01 18:06:00,NPP-375,Brasil,RIO GRANDE DO SUL,TUPANCIRETA,Pampa,0,0,0.17,-29.14429,-53.79997,
2017/10/29 16:38:00,NPP-375,Brasil,RIO GRANDE DO SUL,PEDRO OSORIO,Pampa,0,0,0.02,-31.98611,-52.82252,
2017/09/01 18:05:00,NPP-375,Brasil,RIO GRANDE DO SUL,JAGUARAO,Pampa,0,0.2,0.08,-32.20905,-53.49196,
2017/08/01 17:47:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO VICENTE DO SUL,Pampa,0,74.6,0,-29.74607,-54.71122,
2016/12/20 17:48:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO BORJA,Pampa,,,,-28.88052,-55.65598,
2017/12/01 03:56:00,NPP-375,Brasil,RIO GRANDE DO SUL,DOM PEDRITO,Pampa,0,0.4,0.22,-31.00756,-54.29042,
2017/07/26 17:59:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,0,0.18,-30.60842,-52.78284,
2017/11/01 17:22:00,NPP-375,Brasil,RIO GRANDE DO SUL,PINHEIRO MACHADO,Pampa,0,0,0.02,-31.79511,-53.38184,
2017/11/20 23:11:13,NOAA-18,Brasil,RIO GRANDE DO SUL,RIO PARDO,Pampa,0,0,0,-30.0725,-52.2288,
2016/12/20 17:47:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,,,,-31.72104,-53.13869,
2016/12/22 05:50:41,NOAA-19D,Brasil,RIO GRANDE DO SUL,PEDRAS ALTAS,Pampa,,,,-31.6098,-53.6387,
2017/11/23 17:09:00,NPP-375,Brasil,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Pampa,0,0,0.1,-30.93851,-53.29527,
2017/11/23 04:45:00,NPP-375,Brasil,RIO GRANDE DO SUL,ROSARIO DO SUL,Pampa,0,0,0.26,-30.16942,-55.01886,
2017/05/02 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,TRIUNFO,Pampa,0,0,0,-29.77126,-51.69862,
2017/09/03 05:04:00,NPP-375,Brasil,RIO GRANDE DO SUL,MACAMBARA,Pampa,0,0.8,0,-29.01689,-55.52612,
2016/12/16 17:22:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,,,,-30.74104,-52.92714,
2017/11/04 18:07:00,NPP-375,Brasil,RIO GRANDE DO SUL,BOSSOROCA,Pampa,0,0,0,-28.50298,-55.0808,
2016/12/17 17:03:00,NPP-375,Brasil,RIO GRANDE DO SUL,SANTANA DA BOA VISTA,Pampa,,,,-30.68358,-53.12257,
2017/11/15 18:00:00,NPP-375,Brasil,RIO GRANDE DO SUL,BARAO DO TRIUNFO,Pampa,0,11.5,0,-30.42531,-51.7434,
