ID,LatitudeX,LongitudeY,Area,Bioma
41,-48.97,-2.8499999999999996,9.999999999999574e-05,Amazonia
42,-48.629999999999995,-2.9299999999999993,0.00010000000000004902,Amazonia
43,-51.730000000000004,-3.0599999999999987,0.00010000000000006679,Amazonia
44,-47.25333333333332,-3.113333333333332,0.0002999999999999516,Amazonia
45,-42.75999999999999,-3.24,9.999999999996021e-05,Cerrado
46,-42.79999999999999,-3.274999999999998,0.00019999999999995594,Cerrado
47,-42.25999999999999,-3.3375000000000017,0.0003999999999999474,Cerrado
48,-42.92249999999999,-3.5875,0.0007999999999998948,Cerrado
49,-42.92,-3.6,0.00010000000000003127,Cerrado
50,-42.91,-3.5999999999999996,9.999999999996021e-05,Cerrado
51,-42.919999999999995,-3.6099999999999994,0.00010000000000006679,Cerrado
53,-47.79999999999999,-3.689999999999999,9.999999999996021e-05,Amazonia
54,-47.789999999999985,-3.699999999999999,9.999999999999574e-05,Amazonia
55,-47.224999999999994,-3.8099999999999987,0.00019999999999999147,Amazonia
56,-43.144999999999996,-3.8099999999999987,0.00019999999999999147,Cerrado
57,-43.01333333333332,-3.953333333333332,0.0002999999999999516,Cerrado
58,-43.35999999999999,-4.17,9.999999999996021e-05,Cerrado
59,-43.349999999999994,-4.179999999999999,0.00010000000000006679,Cerrado
60,-43.3,-4.209999999999999,0.00029999999999995167,Cerrado
61,-47.72,-4.6,9.999999999996021e-05,Amazonia
64,-46.263749999999995,-4.736250000000001,0.0008000000000000726,Amazonia
77,-38.235,-4.94,0.00019999999999999147,Caatinga
78,-47.99499999999999,-4.959999999999999,0.00019999999999999147,Amazonia
82,-56.934999999999995,-4.975,0.00039999999999998294,Amazonia
85,-43.78499999999999,-5.004999999999998,0.000400000000000054,Cerrado
86,-47.75000000000001,-5.019999999999999,9.999999999999574e-05,Amazonia
87,-47.96999999999999,-5.08,9.999999999996021e-05,Amazonia
88,-38.22249999999999,-5.119999999999998,0.00039999999999991193,Caatinga
89,-46.70666666666667,-5.456666666666664,0.00030000000000005825,Cerrado
90,-47.684999999999995,-5.4750000000000005,0.00039999999999998294,Cerrado
91,-46.68666666666666,-5.473333333333332,0.0002999999999999872,Cerrado
92,-46.67999999999999,-5.490000000000001,9.999999999996021e-05,Cerrado
93,-46.66499999999999,-5.5,0.00020000000000006254,Cerrado
94,-43.52999999999999,-5.614999999999999,0.00020000000000009805,Cerrado
95,-46.182,-5.7139999999999995,0.0004999999999999431,Cerrado
96,-49.19428571428572,-5.7885714285714265,0.0007000000000000055,Amazonia
97,-50.53,-5.802857142857142,0.0007000000000000766,Amazonia
99,-40.209999999999994,-5.91,0.00030000000000005825,Caatinga
100,-45.06999999999999,-5.914999999999997,0.00039999999999998305,Cerrado
101,-45.03999999999999,-5.92,9.999999999996021e-05,Cerrado
102,-40.236666666666665,-5.923333333333335,0.0003000000000000583,Caatinga
103,-45.029999999999994,-5.93,0.00010000000000006679,Cerrado
104,-53.48500000000001,-5.954999999999998,0.0003999999999999119,Amazonia
105,-45.05357142857143,-5.958571428571427,0.0014000000000000824,Cerrado
106,-46.82,-5.9750000000000005,0.0003999999999999119,Cerrado
107,-45.2225,-5.967499999999999,0.00040000000000001845,Cerrado
108,-45.19999999999998,-5.96,9.999999999996021e-05,Cerrado
109,-45.089999999999996,-5.969999999999999,9.999999999999574e-05,Cerrado
110,-45.08,-5.98,9.999999999999574e-05,Cerrado
111,-45.029999999999994,-5.98,0.00010000000000006679,Cerrado
112,-45.105,-5.990000000000001,0.00019999999999999147,Cerrado
113,-53.00999999999999,-6.011666666666665,0.0006000000000000099,Amazonia
114,-46.11999999999999,-6.0075,0.00039999999999994744,Cerrado
115,-45.17,-6.008000000000001,0.0005000000000001209,Cerrado
116,-47.63666666666665,-6.026666666666665,0.00029999999999998723,Cerrado
117,-44.97,-6.03,9.999999999996021e-05,Cerrado
118,-44.98,-6.04,9.999999999999574e-05,Cerrado
119,-47.81642857142857,-6.068571428571429,0.001400000000000189,Cerrado
120,-45.64,-6.0755,0.0020000000000001644,Cerrado
121,-45.52421052631576,-6.073684210526315,0.0018999999999999898,Cerrado
122,-45.27333333333333,-6.098333333333332,0.00060000000000001,Cerrado
123,-49.9,-6.105000000000001,0.00019999999999995594,Amazonia
124,-45.65333333333333,-6.13111111111111,0.0008999999999998553,Cerrado
125,-45.53999999999999,-6.109999999999999,9.999999999999574e-05,Cerrado
126,-45.20333333333332,-6.113333333333331,0.00030000000000002274,Cerrado
127,-45.279999999999994,-6.119999999999999,0.00010000000000003127,Cerrado
128,-45.06333333333334,-6.12111111111111,0.0009000000000000325,Cerrado
129,-38.175,-6.119999999999999,0.00019999999999999147,Caatinga
130,-45.529999999999994,-6.125000000000001,0.000400000000000054,Cerrado
131,-48.48333333333333,-6.143333333333332,0.00030000000000002274,Amazonia
132,-47.519999999999996,-6.145,0.00019999999999995594,Cerrado
134,-45.324999999999996,-6.16,0.00019999999999999147,Cerrado
135,-45.181428571428555,-6.162857142857144,0.000699999999999899,Cerrado
137,-45.76499999999999,-6.170000000000001,0.00019999999999992043,Cerrado
138,-45.59999999999999,-6.170000000000001,0.00010000000000003127,Cerrado
139,-45.526666666666664,-6.176666666666666,0.0003000000000000938,Cerrado
140,-45.79999999999999,-6.18,9.999999999999574e-05,Cerrado
141,-45.77999999999999,-6.180000000000001,0.00010000000000006679,Cerrado
142,-45.5983870967742,-6.173225806451614,0.003099999999999831,Cerrado
143,-46.98499999999999,-6.1899999999999995,0.00019999999999999147,Cerrado
