,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
40856,2019/02/24 16:45:00,0.0,0.0,0.02,-6.682,-47.117
40857,2019/02/24 16:45:00,0.0,0.35,0.08,-6.482,-47.25899999999999
40858,2019/02/24 16:45:00,0.0,0.13,0.0,-5.864,-47.896
41889,2019/02/01 16:35:00,4.0,0.0,0.0,-12.049000000000001,-49.251000000000005
41890,2019/02/01 16:35:00,4.0,0.0,0.0,-12.017000000000001,-48.646
41891,2019/02/01 16:35:00,0.0,0.48,0.0,-11.889000000000001,-51.425
41892,2019/02/04 17:05:00,0.0,1.08,0.5,-14.107000000000001,-55.648
41893,2019/02/04 17:10:00,0.0,1.55,0.0,-14.027999999999999,-57.831
41894,2019/02/06 16:55:00,2.0,28.6,0.02,-14.372,-58.06100000000001
41895,2019/02/06 16:55:00,0.0,35.42,0.02,-13.968,-58.027
41896,2019/02/06 16:55:00,0.0,2.05,0.02,-13.665999999999999,-58.522
41897,2019/02/13 17:00:00,0.0,3.13,0.02,-15.152000000000001,-50.815
41898,2019/02/13 17:00:00,3.0,0.15,0.05,-14.765999999999998,-49.391999999999996
41899,2019/02/13 17:00:00,0.0,0.0,0.01,-21.43,-54.435
41900,2019/02/13 17:00:00,0.0,0.35,0.06,-18.919,-52.343999999999994
41901,2019/02/13 17:00:00,0.0,1.15,0.04,-18.679000000000002,-51.333999999999996
41902,2019/02/13 17:00:00,0.0,17.58,0.0,-16.842,-53.64
41903,2019/02/13 17:00:00,0.0,15.95,0.0,-13.089,-56.379
41904,2019/02/13 17:00:00,0.0,0.25,0.04,-12.668,-57.986000000000004
41905,2019/02/13 17:00:00,4.0,0.15,0.72,-8.615,-43.903
41906,2019/02/13 17:00:00,4.0,0.33,0.72,-8.607000000000001,-43.898999999999994
41907,2019/02/13 17:05:00,2.0,3.05,0.22,-8.003,-44.434
41908,2019/02/13 17:05:00,3.0,2.72,0.36,-7.705,-44.543
41909,2019/02/13 17:05:00,2.0,1.3,0.88,-7.227,-44.089
41910,2019/02/13 17:05:00,2.0,1.2,1.0,-6.872000000000001,-45.32
41911,2019/02/13 17:05:00,4.0,0.0,0.74,-6.5120000000000005,-45.781000000000006
41912,2019/02/13 17:05:00,4.0,0.35,0.3,-6.312,-45.51
41913,2019/02/13 17:05:00,4.0,0.35,0.3,-6.312,-45.504
41914,2019/02/13 17:05:00,4.0,0.35,0.3,-6.3,-45.512
41915,2019/02/13 17:05:00,4.0,0.35,0.66,-6.3,-45.506
42249,2019/02/19 16:25:00,4.0,2.55,0.03,-15.857000000000001,-45.521
44208,2019/02/12 16:20:00,3.0,1.3,,-5.233,-45.07899999999999
44209,2019/02/15 16:50:00,0.0,20.47,0.0,-18.447,-51.8
44210,2019/02/17 16:40:00,0.0,1.33,0.72,-6.534,-44.659
44211,2019/02/17 16:40:00,4.0,19.5,0.0,-6.307,-45.50899999999999
44212,2019/02/18 17:20:00,0.0,0.0,0.0,-14.38,-58.283
44213,2019/02/18 17:20:00,0.0,0.0,0.0,-12.65,-58.111999999999995
44214,2019/02/18 17:20:00,0.0,0.0,0.0,-12.360999999999999,-58.088
44215,2019/02/18 17:20:00,2.0,0.0,0.0,-13.968,-55.175
44216,2019/02/18 17:20:00,0.0,0.15,0.0,-13.767999999999999,-55.784
44217,2019/02/19 16:25:00,2.0,16.15,0.01,-8.386000000000001,-46.166000000000004
44218,2019/02/19 16:25:00,0.0,6.6,0.14,-11.549000000000001,-48.138999999999996
44219,2019/02/20 17:05:00,0.0,0.9,0.18,-20.896,-55.547
44220,2019/02/20 17:05:00,0.0,0.9,1.0,-20.828000000000003,-55.651
44221,2019/02/20 17:05:00,5.0,0.0,1.0,-20.11,-54.108000000000004
44222,2019/02/20 17:05:00,5.0,0.05,1.0,-19.999000000000002,-54.293
44223,2019/02/22 16:55:00,0.0,9.22,0.0,-14.469000000000001,-49.126999999999995
44224,2019/02/22 16:55:00,0.0,8.7,0.0,-14.287,-49.013999999999996
44225,2019/02/28 16:20:00,0.0,4.73,0.0,-10.236,-48.631
46324,2019/02/01 16:35:00,5.0,0.03,0.62,-18.739,-50.077
46325,2019/02/01 16:35:00,15.0,0.0,1.0,-19.382,-43.476000000000006
46326,2019/02/01 16:35:00,5.0,0.0,0.85,-19.25,-46.86
46327,2019/02/01 16:35:00,15.0,0.0,1.0,-18.061,-43.626000000000005
46328,2019/02/01 16:35:00,15.0,0.0,1.0,-18.06,-43.617
46329,2019/02/01 16:35:00,16.0,0.0,0.7,-17.957,-43.667
46330,2019/02/01 16:35:00,16.0,0.0,1.0,-17.956,-43.658
46331,2019/02/01 16:35:00,4.0,0.0,1.0,-17.616,-42.559
46332,2019/02/01 16:35:00,5.0,0.0,1.0,-17.475,-46.981
46333,2019/02/01 16:35:00,6.0,0.0,0.63,-17.27,-43.677
46334,2019/02/01 16:35:00,5.0,0.0,0.18,-16.779,-47.438
46335,2019/02/01 16:35:00,5.0,0.0,0.6,-16.776,-47.445
46336,2019/02/01 16:35:00,5.0,0.0,0.18,-16.774,-47.431999999999995
46337,2019/02/01 16:35:00,4.0,0.0,0.57,-16.518,-46.717
46338,2019/02/01 16:35:00,4.0,0.0,0.79,-16.508,-46.718
46339,2019/02/01 16:35:00,6.0,0.0,0.85,-15.640999999999998,-45.778
46340,2019/02/01 16:35:00,3.0,0.0,0.01,-13.885,-54.293
46341,2019/02/01 16:35:00,3.0,0.0,0.01,-13.884,-54.301
46342,2019/02/01 16:35:00,3.0,0.0,0.01,-13.880999999999998,-54.253
46343,2019/02/01 16:35:00,3.0,0.0,0.01,-13.88,-54.26
46344,2019/02/01 16:35:00,2.0,5.6,0.0,-12.703,-49.986000000000004
46345,2019/02/01 16:35:00,3.0,0.8,0.0,-12.505999999999998,-50.173
46346,2019/02/01 16:35:00,0.0,0.48,0.0,-11.883,-51.431000000000004
46347,2019/02/01 16:35:00,4.0,0.03,0.0,-11.675,-48.574
46348,2019/02/01 16:35:00,2.0,23.68,0.01,-11.288,-49.631
46349,2019/02/01 16:40:00,0.0,7.67,0.01,-10.655,-49.873000000000005
46350,2019/02/01 16:40:00,0.0,0.58,0.36,-8.185,-45.803999999999995
