,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
21975,2017/06/16 15:33:00,0.0,0.0,1.0,-11.06528,-42.7077
22173,2017/06/25 03:29:00,0.0,0.0,1.0,-7.13247,-38.48819
23132,2017/06/02 16:36:00,0.0,0.0,1.0,-11.89944,-41.82499
23144,2017/06/15 03:17:00,0.0,0.0,1.0,-9.42901,-40.40201
23217,2017/06/13 12:00:56,0.0,0.0,1.0,-10.31,-41.39
23502,2017/06/07 16:43:00,0.0,0.0,1.0,-9.006839999999999,-41.99487
23661,2017/06/18 16:37:00,0.0,0.0,1.0,-6.796539999999999,-38.74527
23860,2017/06/18 04:00:00,0.0,0.0,1.0,-6.02594,-36.35368
24501,2017/06/02 16:35:00,0.0,0.0,1.0,-14.14,-42.57245
24627,2017/06/18 00:28:32,0.0,0.0,1.0,-13.0322999954224,-41.4084014892578
25127,2017/06/08 03:47:00,0.0,0.0,,-5.2100800000000005,-37.65548
25654,2017/06/09 03:31:00,0.0,0.0,1.0,-15.338510000000001,-43.27721
25660,2017/06/08 03:48:00,0.0,0.0,1.0,-9.48431,-40.29302
25699,2017/06/30 16:12:00,0.0,6.1,0.29,-7.65915,-37.081379999999996
25849,2017/06/18 16:38:00,0.0,0.0,,-4.97863,-38.62363
25903,2017/06/15 15:52:00,0.0,0.0,1.0,-10.19944,-42.23867
26021,2017/06/01 01:01:19,0.0,0.0,1.0,-11.85,-41.16
26813,2017/06/24 03:49:00,0.0,0.0,1.0,-13.54708,-42.487159999999996
27082,2017/06/02 03:59:00,0.0,0.0,,-3.6875199999999997,-40.37317
27440,2017/06/19 16:19:00,0.0,8.3,,-3.9087699999999996,-42.87296
27595,2017/06/09 16:05:00,0.0,0.0,1.0,-8.871939999999999,-38.73238
27639,2017/06/09 16:05:00,0.0,0.2,1.0,-9.04792,-38.245509999999996
27750,2017/06/09 03:29:00,0.0,0.0,1.0,-9.48333,-40.35392
28329,2017/06/16 05:50:37,0.0,0.0,1.0,-9.44764,-40.3912
28622,2017/06/13 03:55:00,0.0,0.0,1.0,-11.3388,-41.418
29027,2017/06/29 16:31:00,0.0,0.0,1.0,-7.11103,-43.42825
29082,2017/06/09 16:04:00,0.0,0.0,1.0,-11.31697,-38.25871
29599,2017/06/13 16:30:00,0.0,0.0,1.0,-11.11428,-42.34128
29817,2017/06/15 15:52:00,0.0,0.0,1.0,-11.967210000000001,-38.39346
29865,2017/06/16 04:38:00,0.0,0.0,1.0,-9.49742,-40.32967
29870,2017/06/08 03:48:00,0.0,0.0,1.0,-9.4488,-40.43993
