,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
725,2018/05/17 17:30:00,4.0,0.0,,-7.50908,-62.90775
6403,2018/05/01 17:30:00,0.0,0.0,0.0,-4.16956,-59.4068
6404,2018/05/01 17:30:00,0.0,5.88,0.0,-8.62608,-64.02561999999999
6405,2018/05/01 17:30:00,0.0,5.88,0.0,-8.62762,-64.0257
6406,2018/05/02 17:12:00,0.0,19.47,0.0,-3.78456,-60.33643000000001
6407,2018/05/03 16:54:00,0.0,10.85,0.0,-3.8634199999999996,-63.88705
6408,2018/05/03 16:54:00,0.0,10.85,0.0,-3.86479,-63.88786999999999
6409,2018/05/04 17:35:00,0.0,0.03,0.0,-6.102,-59.91
6412,2018/05/05 18:00:00,0.0,26.68,0.0,-7.89181,-61.47391999999999
6413,2018/05/08 17:00:00,0.0,16.92,0.0,-2.45112,-67.08006
6414,2018/05/08 06:06:00,0.0,0.5,0.01,-9.20139,-66.10887
6415,2018/05/08 06:06:00,0.0,0.5,0.01,-9.20143,-66.11214
6416,2018/05/08 06:06:00,0.0,0.5,0.01,-9.201989999999999,-66.10799
6417,2018/05/08 17:00:00,0.0,0.05,0.0,-6.83749,-59.096759999999996
6418,2018/05/10 18:06:00,0.0,0.0,0.01,-7.26105,-64.73093
6419,2018/05/11 17:40:00,0.0,3.35,0.03,-3.509,-59.187
6420,2018/05/11 17:40:00,0.0,3.35,0.03,-3.508,-59.177
6421,2018/05/11 17:40:00,0.0,0.0,0.0,-5.625,-63.185
6422,2018/05/11 17:40:00,0.0,16.17,0.0,-1.42,-60.303000000000004
6423,2018/05/11 17:40:00,0.0,1.73,0.03,-2.634,-60.945
6424,2018/05/11 05:06:00,0.0,1.2,0.01,-2.48544,-59.69218000000001
6425,2018/05/11 17:48:00,0.0,16.17,0.0,-1.4149399999999999,-60.30065
6426,2018/05/11 17:48:00,0.0,32.45,0.03,-3.17873,-60.84106
6427,2018/05/11 17:48:00,0.0,0.9,0.0,-3.86164,-63.601459999999996
6428,2018/05/11 17:48:00,0.0,3.35,0.03,-3.5064,-59.18124
6429,2018/05/11 17:48:00,0.0,10.07,0.03,-4.12035,-58.97886
6430,2018/05/31 17:15:00,13.0,0.0,0.2,-8.408,-61.573
6431,2018/05/31 17:15:00,13.0,0.0,0.2,-8.405,-61.55
6432,2018/05/31 17:15:00,16.0,0.0,0.2,-8.394,-61.575
6433,2018/05/12 17:24:00,7.0,0.38,0.02,-8.49462,-61.564769999999996
6434,2018/05/12 17:24:00,4.0,0.95,0.03,-7.45527,-63.04363000000001
6435,2018/05/12 17:24:00,0.0,1.1,0.01,-3.45355,-64.93216
6436,2018/05/31 17:15:00,5.0,0.15,0.02,-2.841,-58.361999999999995
6437,2018/05/31 18:12:00,2.0,0.17,0.01,-3.95379,-63.21088
6438,2018/05/13 17:30:00,5.0,5.25,0.0,-6.897,-59.332
6439,2018/05/13 17:06:00,0.0,2.03,0.0,-5.38598,-60.74296
6440,2018/05/13 17:06:00,0.0,2.03,0.0,-5.381869999999999,-60.74355
6441,2018/05/13 17:06:00,0.0,10.57,0.0,-3.94984,-63.18918000000001
6442,2018/05/31 16:30:00,3.0,0.0,0.05,-2.27133,-57.220580000000005
6443,2018/05/14 16:48:00,4.0,32.17,0.04,-8.404539999999999,-59.189530000000005
6444,2018/05/15 18:12:00,2.0,2.98,0.02,-7.25219,-72.52367
6445,2018/05/15 18:12:00,0.0,0.9,0.02,-9.43449,-66.73156
6446,2018/05/15 18:12:00,0.0,0.9,0.03,-9.43375,-66.7271
6447,2018/05/16 05:12:00,0.0,0.08,0.01,-2.95332,-60.015
6448,2018/05/17 19:49:33,2.0,0.43,0.07,-8.45,-61.68
6449,2018/05/17 19:49:33,2.0,0.43,0.07,-8.45,-61.66
6450,2018/05/17 19:34:32,2.0,0.43,0.07,-8.45,-61.66
6451,2018/05/17 17:36:00,2.0,0.0,0.02,-3.47474,-60.296240000000004
6452,2018/05/17 17:36:00,2.0,0.1,0.01,-2.4870900000000002,-59.69136999999999
6453,2018/05/18 17:50:00,3.0,0.0,0.03,-3.228,-60.025
6454,2018/05/18 17:12:00,0.0,4.58,0.03,-3.85586,-59.04045
