,datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
2501,2019/05/22 16:48:00,9.0,0.0,1.0,-23.57565,-50.05895
2502,2019/05/22 16:48:00,5.0,2.22,1.0,-23.36444,-49.34563
2503,2019/05/22 16:48:00,4.0,0.0,0.34,-23.12558,-47.523999999999994
2504,2019/05/22 16:48:00,4.0,0.0,0.23,-23.12378,-46.273540000000004
2505,2019/05/22 16:48:00,4.0,0.0,0.34,-23.122239999999998,-47.5246
2506,2019/05/22 16:48:00,4.0,0.0,1.0,-23.12009,-47.5328
2507,2019/05/22 16:48:00,4.0,0.0,0.34,-23.11557,-47.52583
2508,2019/05/22 16:48:00,3.0,0.0,1.0,-22.7971,-47.17305
2509,2019/05/22 16:48:00,4.0,0.0,0.24,-22.796310000000002,-43.71555
2510,2019/05/22 16:48:00,4.0,0.0,0.29,-21.85275,-43.42693
2511,2019/05/22 16:48:00,4.0,0.0,0.29,-21.850270000000002,-43.42532
2512,2019/05/22 16:48:00,4.0,0.0,0.87,-21.59901,-43.6416
2518,2019/05/22 19:33:37,5.0,0.0,1.0,-17.61,-40.16
2743,2019/05/22 03:23:08,8.0,0.0,1.0,-22.04,-53.87
2754,2019/05/22 22:13:10,6.0,0.0,1.0,-21.93,-50.82
2755,2019/05/22 22:13:10,6.0,0.0,1.0,-21.93,-50.79
2756,2019/05/22 22:13:10,6.0,0.0,1.0,-21.95,-50.81
2757,2019/05/22 22:13:10,6.0,0.0,1.0,-21.95,-50.79
2758,2019/05/22 22:43:08,8.0,0.0,1.0,-22.04,-53.87
2759,2019/05/22 22:43:08,8.0,0.0,1.0,-22.06,-53.86
2760,2019/05/22 22:43:08,8.0,0.0,1.0,-22.06,-53.84
2765,2019/05/23 05:33:16,7.0,0.0,1.0,-20.72,-50.12
2766,2019/05/23 04:00:00,4.0,1.14,0.85,-23.65737,-46.55058
2767,2019/05/23 04:00:00,4.0,0.22,1.0,-23.63251,-46.424409999999995
2768,2019/05/23 04:00:00,0.0,0.05,0.39,-8.07537,-34.976279999999996
