,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,-2.86,-43.705,Cerrado,2458830.019299744,5.715825297787862,0.74287577992059,0.7345367647058823
1,-2.95,-42.695,Cerrado,2458639.266853827,5.715825297787862,0.74287577992059,0.7345367647058823
2,-3.005,-43.11,Cerrado,2458519.779493743,5.715825297787862,0.74287577992059,0.7345367647058823
3,-3.01,-43.215,Cerrado,2458508.8175843004,5.715825297787862,0.74287577992059,0.7345367647058823
4,-3.033571,-42.535,Cerrado,4916918.39475388,5.715825297787862,0.74287577992059,0.7345367647058823
5,-3.05,-43.625,Cerrado,2458420.393258172,5.715825297787862,0.74287577992059,0.7345367647058823
6,-3.06,-42.94,Cerrado,1229199.052459187,5.715825297787862,0.74287577992059,0.7345367647058823
7,-3.075,-42.955,Cerrado,3687552.3984210812,5.715825297787862,0.74287577992059,0.7345367647058823
8,-3.085,-42.685,Cerrado,3687518.710745432,5.715825297787862,0.74287577992059,0.7345367647058823
9,-3.1,-42.64,Cerrado,1229154.111247727,5.715825297787862,0.74287577992059,0.7345367647058823
10,-3.11,-42.65,Cerrado,1229142.7848173722,5.715825297787862,0.74287577992059,0.7345367647058823
11,-3.11,-42.5,Cerrado,1229142.7848173722,5.715825297787862,0.74287577992059,0.7345367647058823
12,-3.12,-42.66,Cerrado,1229131.4219364594,5.715825297787862,0.74287577992059,0.7345367647058823
13,-3.12,-42.64,Cerrado,1229131.4219364594,5.715825297787862,0.74287577992059,0.7345367647058823
14,-3.12,-42.53,Cerrado,1229131.4219386498,5.715825297787862,0.74287577992059,0.7345367647058823
15,-3.118636,-42.917727,Cerrado,7374811.220927834,5.715825297787862,0.74287577992059,0.7345367647058823
16,-3.155,-43.355,Cerrado,4916365.440995209,5.715825297787862,0.74287577992059,0.7345367647058823
17,-3.15,-43.3,Cerrado,1229097.114589279,5.715825297787862,0.74287577992059,0.7345367647058823
18,-3.149444,-42.768333,Cerrado,7374571.142405258,5.715825297787862,0.74287577992059,0.7345367647058823
