,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,4.405,-59.82833299999999,Amazonia,4909456.363334385,3.033169533169533,1.141575552825553,0.0672869429241595
1,4.385,-60.445,Amazonia,3682192.481387006,3.033169533169533,1.141575552825553,0.0672869429241595
2,4.38,-59.83,Amazonia,3682224.4608447207,3.033169533169533,1.141575552825553,0.0672869429241595
3,4.33,-59.79,Amazonia,1227487.556090263,3.033169533169533,1.141575552825553,0.0672869429241595
4,4.315,-60.895,Amazonia,3682525.7168904888,3.033169533169533,1.141575552825553,0.0672869429241595
5,4.2827779999999995,-60.886111,Amazonia,7365349.376257462,3.033169533169533,1.141575552825553,0.0672869429241595
6,4.28,-60.91,Amazonia,1227566.0482472554,3.033169533169533,1.141575552825553,0.0672869429241595
7,4.27,-60.865,Amazonia,2455163.274875643,3.033169533169533,1.141575552825553,0.0672869429241595
8,4.25,-60.87,Amazonia,3682838.119709612,3.033169533169533,1.141575552825553,0.0672869429241595
9,4.24,-60.29,Amazonia,1227628.186512084,3.033169533169533,1.141575552825553,0.0672869429241595
10,4.24,-60.02,Amazonia,1227628.1865131792,3.033169533169533,1.141575552825553,0.0672869429241595
11,4.235,-60.845,Amazonia,3682900.0030636857,3.033169533169533,1.141575552825553,0.0672869429241595
12,4.23,-60.3,Amazonia,1227643.6300406132,3.033169533169533,1.141575552825553,0.0672869429241595
13,4.241667,-59.989167,Amazonia,12276250.759583868,3.033169533169533,1.141575552825553,0.0672869429241595
14,4.22,-60.84,Amazonia,1227659.037152538,3.033169533169533,1.141575552825553,0.0672869429241595
15,4.21,-60.735,Amazonia,2455348.815691336,3.033169533169533,1.141575552825553,0.0672869429241595
16,4.195,-60.705,Amazonia,3683084.524235263,3.033169533169533,1.141575552825553,0.0672869429241595
17,4.195,-59.81,Amazonia,2455394.782107593,3.033169533169533,1.141575552825553,0.0672869429241595
18,4.17,-59.75,Amazonia,1227735.5264532377,3.033169533169533,1.141575552825553,0.0672869429241595
19,4.16,-59.74,Amazonia,1227750.715055678,3.033169533169533,1.141575552825553,0.0672869429241595
20,4.137857,-60.820714,Amazonia,8594436.613126723,3.033169533169533,1.141575552825553,0.0672869429241595
21,4.153333,-60.716667,Amazonia,18416381.50633137,3.033169533169533,1.141575552825553,0.0672869429241595
22,4.15,-60.545,Amazonia,2455531.734487409,3.033169533169533,1.141575552825553,0.0672869429241595
23,4.055,-60.92,Amazonia,2455815.9840314533,3.033169533169533,1.141575552825553,0.0672869429241595
24,4.05375,-60.88875,Amazonia,4911646.75603341,3.033169533169533,1.141575552825553,0.0672869429241595
25,4.03,-60.915,Amazonia,2455889.7053920133,3.033169533169533,1.141575552825553,0.0672869429241595
26,4.03,-60.635,Amazonia,2455889.7053920133,3.033169533169533,1.141575552825553,0.0672869429241595
27,4.02,-60.65,Amazonia,1227959.5314068396,3.033169533169533,1.141575552825553,0.0672869429241595
28,4.02,-60.03,Amazonia,3683878.594219424,3.033169533169533,1.141575552825553,0.0672869429241595
29,3.9940910000000014,-60.557727,Amazonia,13507861.860000504,3.033169533169533,1.141575552825553,0.0672869429241595
30,3.979286,-60.465,Amazonia,6140103.8702244,3.033169533169533,1.141575552825553,0.0672869429241595
31,3.96,-60.45,Amazonia,1228046.8387687106,3.033169533169533,1.141575552825553,0.0672869429241595
32,3.935,-60.465,Amazonia,12280885.510462776,3.033169533169533,1.141575552825553,0.0672869429241595
33,3.95,-60.44,Amazonia,1228061.2625052629,3.033169533169533,1.141575552825553,0.0672869429241595
34,3.935,-60.5,Amazonia,2456165.650526384,3.033169533169533,1.141575552825553,0.0672869429241595
35,3.939545,-59.637273,Amazonia,19649195.681942314,3.033169533169533,1.141575552825553,0.0672869429241595
36,3.93,-59.64,Amazonia,1228090.0007044582,3.033169533169533,1.141575552825553,0.0672869429241595
37,3.89,-61.135,Amazonia,2456294.0799640403,3.033169533169533,1.141575552825553,0.0672869429241595
38,3.865,-60.625,Amazonia,7369094.261145437,3.033169533169533,1.141575552825553,0.0672869429241595
39,3.865,-60.59,Amazonia,2456364.778000549,3.033169533169533,1.141575552825553,0.0672869429241595
40,3.8569999999999998,-60.489,Amazonia,12281880.20072259,3.033169533169533,1.141575552825553,0.0672869429241595
41,3.872778,-61.15944399999999,Amazonia,9825388.45039434,3.033169533169533,1.141575552825553,0.0672869429241595
42,3.856429,-60.575,Amazonia,4912771.77082474,3.033169533169533,1.141575552825553,0.0672869429241595
43,3.84,-60.63,Amazonia,1228217.519446614,3.033169533169533,1.141575552825553,0.0672869429241595
44,3.84,-60.61,Amazonia,1228217.519446614,3.033169533169533,1.141575552825553,0.0672869429241595
