,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,3.095,-51.45,Amazonia,2458319.5124774417,4.927317658174946,2.3053285241850494,0.3067321270962048
1,2.77,-51.065,Amazonia,2459014.865690689,4.927317658174946,2.3053285241850494,0.3067321270962048
2,2.555,-50.98,Amazonia,4918865.0505024055,4.927317658174946,2.3053285241850494,0.3067321270962048
3,2.501667,-50.985,Amazonia,4919058.754800584,4.927317658174946,2.3053285241850494,0.3067321270962048
4,2.21,-55.885,Amazonia,2460032.296554324,4.927317658174946,2.3053285241850494,0.3067321270962048
5,2.19,-50.8725,Amazonia,7380201.144906667,4.927317658174946,2.3053285241850494,0.3067321270962048
6,2.19,-55.865,Amazonia,2460064.4031475973,4.927317658174946,2.3053285241850494,0.3067321270962048
7,2.175,-55.875,Amazonia,3690136.3914745874,4.927317658174946,2.3053285241850494,0.3067321270962048
8,2.181,-50.941,Amazonia,9840281.418985298,4.927317658174946,2.3053285241850494,0.3067321270962048
9,2.165,-55.76,Amazonia,2460104.116959148,4.927317658174946,2.3053285241850494,0.3067321270962048
10,2.17,-50.92,Amazonia,1230048.1089816778,4.927317658174946,2.3053285241850494,0.3067321270962048
11,2.17,-50.7,Amazonia,1230048.1089816778,4.927317658174946,2.3053285241850494,0.3067321270962048
12,2.16,-50.715,Amazonia,2460112.015957131,4.927317658174946,2.3053285241850494,0.3067321270962048
13,2.075,-55.855,Amazonia,3690361.2316005006,4.927317658174946,2.3053285241850494,0.3067321270962048
14,2.0475,-50.88,Amazonia,7380842.86562452,4.927317658174946,2.3053285241850494,0.3067321270962048
15,2.05,-55.88,Amazonia,3690421.469285271,4.927317658174946,2.3053285241850494,0.3067321270962048
16,2.007727,-50.915909,Amazonia,9841368.172129892,4.927317658174946,2.3053285241850494,0.3067321270962048
17,1.98,-50.855,Amazonia,2460383.9061158984,4.927317658174946,2.3053285241850494,0.3067321270962048
18,1.96,-50.905,Amazonia,2460412.6571636964,4.927317658174946,2.3053285241850494,0.3067321270962048
19,1.93,-50.9,Amazonia,3690682.854912428,4.927317658174946,2.3053285241850494,0.3067321270962048
20,1.92,-55.84,Amazonia,1230234.641928325,4.927317658174946,2.3053285241850494,0.3067321270962048
21,1.905,-55.82,Amazonia,4920973.466963652,4.927317658174946,2.3053285241850494,0.3067321270962048
22,1.8159999999999998,-50.8635,Amazonia,15993950.288193734,4.927317658174946,2.3053285241850494,0.3067321270962048
23,1.78,-55.595,Amazonia,2460658.2851687,4.927317658174946,2.3053285241850494,0.3067321270962048
24,1.78,-55.58,Amazonia,1230329.1425843495,4.927317658174946,2.3053285241850494,0.3067321270962048
25,1.775625,-55.628125,Amazonia,50443608.21223473,4.927317658174946,2.3053285241850494,0.3067321270962048
26,1.73,-55.845,Amazonia,2460722.3202491463,4.927317658174946,2.3053285241850494,0.3067321270962048
27,1.675,-55.998332999999995,Amazonia,4921575.174434316,4.927317658174946,2.3053285241850494,0.3067321270962048
28,1.535,-56.09,Amazonia,2460954.619798811,4.927317658174946,2.3053285241850494,0.3067321270962048
29,1.534231,-55.735769,Amazonia,12304772.880080413,4.927317658174946,2.3053285241850494,0.3067321270962048
30,1.515,-55.65,Amazonia,2460976.877644124,4.927317658174946,2.3053285241850494,0.3067321270962048
31,1.51,-55.98,Amazonia,1230491.2028148517,4.927317658174946,2.3053285241850494,0.3067321270962048
32,1.463571,-50.775714,Amazonia,12305177.426904328,4.927317658174946,2.3053285241850494,0.3067321270962048
33,1.335,-50.91,Amazonia,7383492.193796971,4.927317658174946,2.3053285241850494,0.3067321270962048
34,1.353947,-50.616578999999994,Amazonia,12305726.710503645,4.927317658174946,2.3053285241850494,0.3067321270962048
