,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,-2.905,-41.8,Caatinga,2458735.3721974688,0.0,0.7088489651458029,0.7420694233687405
1,-2.91,-40.775,Caatinga,2458724.774841796,0.0,0.7088489651458029,0.7420694233687405
2,-2.92,-41.79,Caatinga,1229351.7536048105,0.0,0.7088489651458029,0.7420694233687405
3,-2.93,-41.16,Caatinga,1229341.083334879,0.0,0.7088489651458029,0.7420694233687405
4,-2.94,-41.175,Caatinga,2458660.753217826,0.0,0.7088489651458029,0.7420694233687405
5,-2.95,-41.2,Caatinga,1229319.6334269135,0.0,0.7088489651458029,0.7420694233687405
6,-2.955,-40.895,Caatinga,4917256.974433776,0.0,0.7088489651458029,0.7420694233687405
7,-2.955,-40.098333000000004,Caatinga,6146565.828223751,0.0,0.7088489651458029,0.7420694233687405
8,-2.9716669999999996,-40.025,Caatinga,6146500.968132901,0.0,0.7088489651458029,0.7420694233687405
9,-2.97,-41.42,Caatinga,1229298.0376991923,0.0,0.7088489651458029,0.7420694233687405
10,-2.985,-41.15,Caatinga,4917137.85161432,0.0,0.7088489651458029,0.7420694233687405
11,-2.99,-39.92,Caatinga,1229276.296156097,0.0,0.7088489651458029,0.7420694233687405
12,-3.0,-41.66,Caatinga,1229265.3706994024,0.0,0.7088489651458029,0.7420694233687405
13,-3.0,-41.47,Caatinga,1229265.3707004976,0.0,0.7088489651458029,0.7420694233687405
14,-3.0,-41.4,Caatinga,1229265.3707004976,0.0,0.7088489651458029,0.7420694233687405
15,-3.01,-41.67,Caatinga,1229254.4087932454,0.0,0.7088489651458029,0.7420694233687405
16,-3.015,-41.455,Caatinga,3687741.229654258,0.0,0.7088489651458029,0.7420694233687405
17,-3.01,-41.39,Caatinga,1229254.4087910547,0.0,0.7088489651458029,0.7420694233687405
18,-3.015,-39.925,Caatinga,7375504.456032899,0.0,0.7088489651458029,0.7420694233687405
19,-3.035,-41.305,Caatinga,3687686.0555850375,0.0,0.7088489651458029,0.7420694233687405
20,-3.03,-41.22,Caatinga,1229232.37561721,0.0,0.7088489651458029,0.7420694233687405
21,-3.035,-39.995,Caatinga,4916907.359935655,0.0,0.7088489651458029,0.7420694233687405
22,-3.04,-41.23,Caatinga,1229221.304349522,0.0,0.7088489651458029,0.7420694233687405
